date,open,high,low,close,volume,oi,predictions
2022-06-23 09:15:00+05:30,15451.55,15628.25,15368.45,15577.55,0,0,15498.756276346447
2022-06-24 09:15:00+05:30,15657.4,15747.4,15619.8,15698.95,0,0,15614.635254154204
2022-06-27 09:15:00+05:30,15926.2,15926.5,15816.25,15836.1,0,0,15733.931553776265
2022-06-28 09:15:00+05:30,15757.45,15887.75,15710.45,15883.0,0,0,15866.973866364362
2022-06-29 09:15:00+05:30,15701.7,15861.3,15689.1,15783.35,0,0,15920.720924124716
2022-06-30 09:15:00+05:30,15774.5,15889.65,15732.05,15735.9,0,0,15833.294540858864
2022-07-01 09:15:00+05:30,15703.7,15791.7,15511.85,15764.0,0,0,15768.562664029005
2022-07-04 09:15:00+05:30,15710.5,15852.3,15662.5,15829.15,0,0,15777.911621779798
2022-07-05 09:15:00+05:30,15909.15,16025.75,15785.7,15799.95,0,0,15836.475363827347
2022-07-06 09:15:00+05:30,15818.2,16010.8,15801.5,16007.85,0,0,15822.540098549129
2022-07-07 09:15:00+05:30,16113.75,16150.05,16047.05,16136.85,0,0,15999.046094491483
2022-07-08 09:15:00+05:30,16273.65,16273.65,16157.9,16217.5,0,0,16138.967302743196
2022-07-11 09:15:00+05:30,16136.15,16248.4,16115.65,16199.05,0,0,16227.297492234113
2022-07-12 09:15:00+05:30,16126.2,16158.65,16032.25,16037.75,0,0,16217.72867174089
2022-07-13 09:15:00+05:30,16128.2,16139.85,15950.55,15975.75,0,0,16069.52780791998
2022-07-14 09:15:00+05:30,16018.85,16070.5,15859.2,15947.95,0,0,15988.619316874148
2022-07-15 09:15:00+05:30,16010.8,16066.45,15927.45,16052.85,0,0,15953.752839030623
2022-07-18 09:15:00+05:30,16151.4,16286.8,16146.65,16281.4,0,0,16045.100817676783
2022-07-19 09:15:00+05:30,16187.05,16359.15,16187.05,16329.3,0,0,16264.129026610255
2022-07-20 09:15:00+05:30,16562.8,16588.0,16491.15,16495.8,0,0,16341.813307729959
2022-07-21 09:15:00+05:30,16523.55,16624.15,16485.85,16609.8,0,0,16494.240141078833
2022-07-22 09:15:00+05:30,16661.25,16752.25,16611.0,16714.3,0,0,16609.103917313216
2022-07-25 09:15:00+05:30,16662.55,16704.95,16564.5,16610.05,0,0,16709.77969258666
2022-07-26 09:15:00+05:30,16632.9,16634.75,16463.55,16466.55,0,0,16625.08309425414
2022-07-27 09:15:00+05:30,16475.35,16652.55,16439.7,16642.75,0,0,16481.95570961237
2022-07-28 09:15:00+05:30,16774.85,16943.6,16748.3,16922.05,0,0,16613.935241371397
2022-07-29 09:15:00+05:30,17079.5,17172.2,17018.35,17157.95,0,0,16882.241451794504
2022-08-01 09:15:00+05:30,17243.2,17355.65,17156.3,17332.3,0,0,17129.646461182834
2022-08-02 09:15:00+05:30,17310.15,17389.7,17217.4,17294.85,0,0,17311.209899100664
2022-08-03 09:15:00+05:30,17349.25,17406.4,17226.0,17392.9,0,0,17290.58771879196
2022-08-04 09:15:00+05:30,17463.1,17489.25,17161.8,17364.0,0,0,17365.689011954666
2022-08-05 09:15:00+05:30,17423.65,17474.1,17349.6,17389.05,0,0,17342.137613105177
